Date,GLD,IEF,^FTSE,^GSPC
2019-01-03,0.009066170423806419,0.007948573745698795,-0.006162572955417445,-0.02475673039503723
2019-01-04,-0.00808623590052937,-0.008075978494015534,0.021620527262314226,0.03433571464262353
2019-01-07,0.003458482876331992,-0.0027770992834526,-0.0038757422965587374,0.007010434848680358
2019-01-08,-0.00270804061547536,-0.002497747536108541,0.007443978921941374,0.009695285023358924
2019-01-09,0.006418158373500793,0.0005775135780627938,0.006558237052516569,0.004098045450532162
2019-01-10,-0.005886691481276518,-0.0004806950946255606,0.005255813884434746,0.004518418782931244
2019-01-11,0.001727170986037363,0.0029845133082386788,-0.003557549061439347,-0.00014629784190933748
2019-01-14,0.002380897199235621,-0.0005755668919560364,-0.009135352191068757,-0.005257525167898014
2019-01-15,-0.0017200351443329431,-0.0009610109555421298,0.005835156819839593,0.010721688622945758
2019-01-16,0.003199863787636481,-0.000576711688677678,-0.0046845256979695105,0.0022219854881162515
2019-01-17,-0.001308546962521917,-0.001827840929831348,-0.004050926337673677,0.0075914003822110665
2019-01-18,-0.008926410300850951,-0.0031802929467585894,0.019517462471982272,0.01318305304897005
2019-01-22,0.0035531343340227117,0.0034804557219265675,-0.009600606205081408,-0.014157306164566674
2019-01-23,-0.0013997379433262624,-0.00048133739022093724,-0.008476541111627656,0.0022029127742235755
2019-01-24,-0.0015666428373899421,0.0031802114934686987,-0.003492657014544931,0.0013757255543636049
2019-01-25,0.01461726258147622,-0.002305776736667986,-0.001437132231632221,0.008488694060713842
2019-01-28,0.0034999210730881636,0.0002892454305500891,-0.009120028178786765,-0.007846827493937836
2019-01-29,0.005596580714432919,0.002888154902759732,0.01286475721883118,-0.0014562465775435074
2019-01-30,0.005726722578225818,0.0023039563148681275,0.015759697515552284,0.01554926091974429
2019-01-31,0.00048117377030232333,0.004597751242046533,0.003932782687483982,0.008597395948725328
2019-02-01,-0.002004008016032066,-0.005350538778996272,0.007361318671186057,0.0008986100931438479
2019-02-04,-0.004337356751223598,-0.0022091685234427727,0.0019799866039478253,0.006776236617404008
2019-02-05,0.002581475453272253,0.0017333245796051777,0.020372158868658508,0.00470842037697472
2019-02-06,-0.006758902044908588,0.0007681902987086708,-0.0005990755351524824,-0.0022244379802809355
2019-02-07,0.002430293392984062,0.003265404813255879,-0.011083074112680502,-0.009357140143940179
2019-02-08,0.0037982966608789415,0.001339873749537146,-0.003157762213174542,0.0006762010869560964
