Date,GLD,IEF,^FTSE,^GSPC
2019-01-02,121.33000183105469,88.59940338134766,6734.2001953125,2510.030029296875
2019-01-03,122.43000030517578,89.30364227294922,6692.7001953125,2447.889892578125
2019-01-04,121.44000244140625,88.58242797851562,6837.39990234375,2531.93994140625
2019-01-07,121.86000061035156,88.33642578125,6810.89990234375,2549.68994140625
2019-01-08,121.52999877929688,88.11578369140625,6861.60009765625,2574.409912109375
2019-01-09,122.30999755859375,88.16667175292969,6906.60009765625,2584.9599609375
2019-01-10,121.58999633789062,88.1242904663086,6942.89990234375,2596.639892578125
2019-01-11,121.80000305175781,88.38729858398438,6918.2001953125,2596.260009765625
2019-01-14,122.08999633789062,88.33642578125,6855.0,2582.610107421875
2019-01-15,121.87999725341797,88.25153350830078,6895.0,2610.300048828125
2019-01-16,122.2699966430664,88.20063781738281,6862.7001953125,2616.10009765625
2019-01-17,122.11000061035156,88.03942108154297,6834.89990234375,2635.9599609375
2019-01-18,121.0199966430664,87.75942993164062,6968.2998046875,2670.7099609375
2019-01-22,121.44999694824219,88.06487274169922,6901.39990234375,2632.89990234375
2019-01-23,121.27999877929688,88.0224838256836,6842.89990234375,2638.699951171875
2019-01-24,121.08999633789062,88.30241394042969,6819.0,2642.330078125
2019-01-25,122.86000061035156,88.09880828857422,6809.2001953125,2664.760009765625
2019-01-28,123.29000091552734,88.1242904663086,6747.10009765625,2643.85009765625
2019-01-29,123.9800033569336,88.3788070678711,6833.89990234375,2640.0
2019-01-30,124.69000244140625,88.58242797851562,6941.60009765625,2681.050048828125
2019-01-31,124.75,88.98970794677734,6968.89990234375,2704.10009765625
2019-02-01,124.5,88.51356506347656,7020.2001953125,2706.530029296875
2019-02-04,123.95999908447266,88.31802368164062,7034.10009765625,2724.8701171875
2019-02-05,124.27999877929688,88.47110748291016,7177.39990234375,2737.699951171875
2019-02-06,123.44000244140625,88.53907012939453,7173.10009765625,2731.610107421875
2019-02-07,123.73999786376953,88.82818603515625,7093.60009765625,2706.050048828125
2019-02-08,124.20999908447266,88.94720458984375,7071.2001953125,2707.8798828125
2019-02-11,123.5999984741211,88.81111145019531,7129.10009765625,2709.800048828125
2019-02-12,123.86000061035156,88.69208526611328,7133.10009765625,2744.72998046875
2019-02-13,123.37000274658203,88.47110748291016,7190.7998046875,2753.030029296875
2019-02-14,124.05999755859375,88.88768768310547,7197.0,2745.72998046875
2019-02-15,124.80000305175781,88.80265808105469,7236.7001953125,2775.60009765625
2019-02-19,126.69999694824219,88.95573425292969,7179.2001953125,2779.760009765625
2019-02-20,126.4800033569336,88.93870544433594,7228.60009765625,2784.699951171875
2019-02-21,125.05000305175781,88.67512512207031,7167.39990234375,2774.8798828125
2019-02-22,125.5,88.93870544433594,7178.60009765625,2792.669921875
2019-02-25,125.37000274658203,88.80265808105469,7183.7001953125,2796.110107421875
2019-02-26,125.58000183105469,89.06623840332031,7151.10009765625,2793.89990234375
2019-02-27,124.69000244140625,88.75164031982422,7107.2001953125,2792.3798828125
2019-02-28,123.98999786376953,88.52208709716797,7074.7001953125,2784.489990234375
2019-03-01,121.87999725341797,88.2315673828125,7106.7001953125,2803.68994140625
2019-03-04,121.55999755859375,88.50418853759766,7134.39990234375,2792.81005859375
2019-03-05,121.72000122070312,88.55530548095703,7183.39990234375,2789.64990234375
2019-03-06,121.61000061035156,88.80233764648438,7196.0,2771.449951171875
2019-03-07,121.51000213623047,89.10051727294922,7157.60009765625,2748.929931640625
2019-03-08,122.83999633789062,89.2282943725586,7104.2998046875,2743.070068359375
2019-03-11,122.23999786376953,89.1601791381836,7130.60009765625,2783.300048828125
2019-03-12,122.9800033569336,89.40723419189453,7151.2001953125,2791.52001953125
2019-03-13,123.83999633789062,89.37313079833984,7159.2001953125,2810.919921875
2019-03-14,122.41000366210938,89.24533081054688,7185.39990234375,2808.47998046875
2019-03-15,122.97000122070312,89.52644348144531,7228.2998046875,2822.47998046875
2019-03-18,123.04000091552734,89.40723419189453,7299.2001953125,2832.93994140625
2019-03-19,123.37999725341797,89.34757232666016,7324.0,2832.570068359375
2019-03-20,124.18000030517578,89.969482421875,7291.0,2824.22998046875
2019-03-21,123.68000030517578,89.9268569946289,7355.2998046875,2854.8798828125
2019-03-22,123.97000122070312,90.5913314819336,7207.60009765625,2800.7099609375
2019-03-25,124.91999816894531,90.82138061523438,7177.60009765625,2798.360107421875
2019-03-26,124.30000305175781,90.74470520019531,7196.2998046875,2818.4599609375
2019-03-27,123.6500015258789,91.00873565673828,7194.2001953125,2805.3701171875
2019-03-28,121.9000015258789,91.01728057861328,7234.2998046875,2815.43994140625
2019-03-29,122.01000213623047,90.87247467041016,7279.2001953125,2834.39990234375
2019-04-01,121.52999877929688,90.24759674072266,7317.39990234375,2867.18994140625
2019-04-02,121.9800033569336,90.40125274658203,7391.10009765625,2867.239990234375
2019-04-03,121.80000305175781,90.11953735351562,7418.2998046875,2873.39990234375
2019-04-04,122.11000061035156,90.21346282958984,7401.89990234375,2879.389892578125
2019-04-05,121.9800033569336,90.25614929199219,7446.89990234375,2892.739990234375
2019-04-08,122.51000213623047,90.11100769042969,7451.89990234375,2895.77001953125
2019-04-09,123.1500015258789,90.27320861816406,7425.60009765625,2878.199951171875
2019-04-10,123.52999877929688,90.48664855957031,7421.89990234375,2888.2099609375
2019-04-11,121.94999694824219,90.28175354003906,7418.0,2888.320068359375
2019-04-12,121.83000183105469,89.86347961425781,7437.10009765625,2907.409912109375
2019-04-15,121.5999984741211,89.98298645019531,7436.89990234375,2905.580078125
2019-04-16,120.51000213623047,89.67570495605469,7469.89990234375,2907.06005859375
2019-04-17,120.27999877929688,89.69271087646484,7471.2998046875,2900.449951171875
2019-04-18,120.37000274658203,89.90613555908203,7459.89990234375,2905.030029296875
2019-04-23,120.12000274658203,89.94026184082031,7523.10009765625,2933.679931640625
2019-04-24,120.47000122070312,90.28175354003906,7471.7998046875,2927.25
2019-04-25,120.56999969482422,90.17079162597656,7434.10009765625,2926.169921875
2019-04-26,121.37000274658203,90.40979766845703,7428.2001953125,2939.8798828125
2019-04-29,120.83000183105469,90.22197723388672,7440.7001953125,2943.030029296875
2019-04-30,121.19999694824219,90.40125274658203,7418.2001953125,2945.830078125
2019-05-01,120.4000015258789,90.36018371582031,7385.2998046875,2923.72998046875
2019-05-02,119.94000244140625,90.10357666015625,7351.2998046875,2917.52001953125
2019-05-03,120.6500015258789,90.22334289550781,7380.60009765625,2945.639892578125
2019-05-07,121.20999908447266,90.76222229003906,7260.5,2884.050048828125
2019-05-08,120.91000366210938,90.5911636352539,7271.0,2879.419921875
2019-05-09,121.19999694824219,90.83067321777344,7207.39990234375,2870.719970703125
2019-05-10,121.43000030517578,90.7707748413086,7203.2998046875,2881.39990234375
2019-05-13,122.66999816894531,91.2241439819336,7163.7001953125,2811.8701171875
2019-05-14,122.45999908447266,91.13855743408203,7241.60009765625,2834.409912109375
2019-05-15,122.38999938964844,91.4294204711914,7297.0,2850.9599609375
2019-05-16,121.51000213623047,91.24976348876953,7353.5,2876.320068359375
2019-05-17,120.6500015258789,91.29254913330078,7348.60009765625,2859.530029296875
2019-05-20,120.63999938964844,91.13855743408203,7310.89990234375,2840.22998046875
2019-05-21,120.36000061035156,91.03589630126953,7328.89990234375,2864.360107421875
2019-05-22,120.23999786376953,91.30962371826172,7334.2001953125,2856.27001953125
2019-05-23,121.16999816894531,91.86563110351562,7231.0,2822.239990234375
2019-05-24,121.30000305175781,91.83995056152344,7277.7001953125,2826.06005859375
2019-05-28,120.83000183105469,92.24198913574219,7269.0,2802.389892578125
2019-05-29,120.87000274658203,92.2077865600586,7185.2998046875,2783.02001953125
2019-05-30,121.69000244140625,92.54137420654297,7218.2001953125,2788.860107421875
2019-05-31,123.33000183105469,93.15715789794922,7161.7001953125,2752.06005859375
2019-06-03,125.11000061035156,93.60548400878906,7184.7998046875,2744.449951171875
2019-06-04,125.1500015258789,93.26264190673828,7214.2998046875,2803.27001953125
2019-06-05,125.47000122070312,93.26264190673828,7220.2001953125,2826.14990234375
2019-06-06,125.87999725341797,93.24549102783203,7259.89990234375,2843.489990234375
2019-06-07,126.58999633789062,93.614013671875,7331.89990234375,2873.340087890625
2019-06-10,125.33000183105469,93.15123748779297,7375.5,2886.72998046875
2019-06-11,125.18000030517578,93.15123748779297,7398.5,2885.719970703125
2019-06-12,125.83000183105469,93.39120483398438,7367.60009765625,2879.840087890625
2019-06-13,126.5999984741211,93.62261199951172,7368.60009765625,2891.639892578125
2019-06-14,126.55999755859375,93.69116973876953,7345.7998046875,2886.97998046875
2019-06-17,126.4800033569336,93.67399597167969,7357.2998046875,2889.669921875
2019-06-18,127.12000274658203,93.85404205322266,7443.0,2917.75
2019-06-19,127.88999938964844,94.11112976074219,7403.5,2926.4599609375
2019-06-20,131.11000061035156,94.26538848876953,7424.39990234375,2954.179931640625
2019-06-21,131.97999572753906,93.87969207763672,7407.5,2950.4599609375
2019-06-24,133.94000244140625,94.20536804199219,7416.7001953125,2945.35009765625
2019-06-25,134.1999969482422,94.3510513305664,7422.39990234375,2917.3798828125
2019-06-26,132.97000122070312,93.9654312133789,7416.39990234375,2913.780029296875
